Sl_no,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
351.0,,Rolls-Royce Wraith,Coupe,50025840,6592 cc,12.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Transverse",Injection,83 litres,Petrol,1507 mm,5269 mm,1947 mm,Coupe,2.0,4.7 km/litre,10.2 km/litre,10.2 km/litre,,2360 kg,8,,Ventilated Disc,Ventilated Disc,Double wishbone,Multi-Link,1622 mm,1668 mm,255 / 45 R20,285/40 R20,Electric Power,Only Front Windows,Power seats,Smart Key,625PS@5600rpm,800Nm@1500-5500rpm,Digital,,Yes,Yes,4.0,Leather,Automatic,3112 mm,R20,Yes,,,Yes,Yes,,Yes,Internal,470 litres,Yes,Yes,Yes,Analog,,,,,,Yes,Internal,Digital,Automatic,Digital,Yes,6.35 meter,Yes,Driver & Front Passenger,,"Fully automatic climate control, 2 Zone Climate Control",,,Yes,,,,,Yes,,,,,,,Yes,Yes,Yes,2810 kg,,Yes,Yes,Yes,,,10:1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Yes,Multifunction Steering Wheel,Yes,,Electric Adjustment with Memory,Yes,,Yes,Yes,Yes,,,,Only front,,,,,,Yes,,Yes,Yes,,,,,
352.0,Bentley,Mulsanne,Sedan,52571294,6752 cc,8.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,90 litres,Petrol,1521 mm,5575 mm,2208 mm,Sedan,4.0,6.2 km/litre,9.5 km/litre,9.5 km/litre,,2685 kg,8,142 mm,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,1615 mm,1625 mm,265/45R20,265/45R20,Electric Power,All Windows,Yes,Smart Key,512PS@4200rpm,1020Nm@1750rpm,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3266 mm,265/45R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,443 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,1 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,,Automatic,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,3200 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,6.0,7:8,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
353.0,,Rolls-Royce Cullinan,Suv,69500000,6750 cc,12.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Transverse",Injection,,Petrol,1835 mm,5341 mm,2000 mm,SUV,5.0,,,22.4-21.9 km/litre,,2753 kg,8,,Ventilated Disc,Ventilated Disc,Double wishbone front axle,5 Link Rear Suspension with Coil Spring,,,,,,,,,563@5000rpm,850 Nm@1600rpm,,,,,5.0,,Automatic,3295 mm,,,,,,,,,,,,,,,,,,,,,,,Automatic,,,,,,,,Yes,,,,,,,,,,,,,,,,,2660 kg,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,
354.0,,Rolls-Royce Phantom Coupe,6.8 L,77312661,6749 cc,12.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100 litres,Petrol,1598 mm,5612 mm,1987 mm,Coupe,2.0,10.2 km/litre,14.8 km/litre,22.8 km/litre,,2629 kg,8,164 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1686 mm,1676 mm,255/50R21,285/45R21,Electric Power,All Windows,Yes,Smart Key,460PS@5350rpm,720Nm@3500rpm,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3320 mm,R21,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,395 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,6.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,3050 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
355.0,Bugatti,Chiron,W16,192142937,7993 cc,16.0,4.0,RWD (Rear Wheel Drive),W,BS 6,"Mid, Transverse",PGM - Fi,,Petrol,1212 mm,4544 mm,2038 mm,Sports,2.0,,,5.95 km/litre,,1995 kg,7,,Ventilated Disc,Ventilated Disc,,,,,,,Electric Power,All Windows,"Yes, with memory","Remote, Smart Key",1479bhp@6700rpm,1600Nm@2000-6000rpm,Digital,Digital,Digital,Yes,2.0,Leather,Automatic,2710 mm,,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,"With Remote, Push to Open, Internal",Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,Yes,Yes,Normal,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag, Front passenger knee airbag, Curtain airbags",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"With gear shift paddles, Multifunction Steering Wheel",Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,Cup Holders,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,1.0,Yes,Yes,,
356.0,Bugatti,Chiron,Sport,212155397,7993 cc,16.0,4.0,RWD (Rear Wheel Drive),W,BS 6,"Mid, Transverse",PGM - Fi,,Petrol,1212 mm,4544 mm,2038 mm,Sports,2.0,,,5.95 km/litre,,1995 kg,7 Dual Clutch,,Ventilated Disc,Ventilated Disc,Runflat,Runflat,,,285/30ZR20,285/30ZR20,Electric Power,All Windows,"Yes, with memory","Remote, Smart Key",1600Nm@2000-6000rpm,1479bhp@6700rpm,Digital,Digital,Digital,Yes,2.0,Leather,Automatic,2710 mm,285/30ZR20,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,,Yes,"With Remote, Push to Open, Internal",Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,Yes,Yes,"Normal, Sport",Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag, Front passenger knee airbag, Curtain airbags",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,Cup Holders,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,1.0,Yes,Yes,,
357.0,Bajaj,Qute (Re60),Qcar,263000,216 cc,,1.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,,Petrol,1652 mm,2752 mm,1312 mm,Hatchback,4.0,,,35 km/litre,,,5,,Drum,Drum,Hydraulic Telescopic Shock Absorber,Hydraulic Telescopic Shock Absorber,1143 mm,,R12,R12,,,,,13bhp@5500rpm,18.9Nm@4000rpm,Yes,Yes,Yes,Yes,4.0,Fabric,Manual,1925 mm,R12,,Yes,Not on offer,,,,,Manual,20 litres,,,Yes,Yes,Not on offer,Yes,,Yes,,,Manual,Yes,Manual,Analog,Yes,3.5 meter,Yes,Driver Only,Not Applicable,,,,,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.0,Bajaj,Qute (Re60),Qcar Cng,283000,216 cc,,1.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,,CNG,1652 mm,2752 mm,1312 mm,Hatchback,4.0,,,,43 km/kg,,5,,Drum,Drum,Hydraulic Telescopic Shock Absorber,Hydraulic Telescopic Shock Absorber,1143 mm,,R12,R12,,,,,12bhp@5500rpm,16.1Nm@4000rpm,Yes,Yes,Yes,Yes,4.0,Fabric,Manual,1925 mm,R12,,Yes,Not on offer,,,,,Manual,20 litres,,,Yes,Yes,Not on offer,Yes,,Yes,,,Manual,Yes,Manual,Analog,Yes,3.5 meter,Yes,Driver Only,Not Applicable,,,,,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.0,Maruti Suzuki,Alto,Std,294800,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,730 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic",Coil spring gas filled shock absorbers with three link rigid axle and isolated trailing arms,1295 mm,1290 mm,145/80R12,145/80R12,,,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2360 mm,145/80R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,,,,Yes,,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver Only,Not Applicable,,Yes,,,,,,,Yes,,,,,,,,,,1185 kg,,,,,,,10.3:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.0,Maruti Suzuki,Alto,Std (O),299900,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,732 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic",Coil spring gas filled shock absorbers with three link rigid axle and isolated trailing arms,1295 mm,1290 mm,145/80R12,145/80R12,,,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2360 mm,145/80R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,,,,Yes,,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver Only,Not Applicable,,Yes,,,,,,,Yes,Yes,,Yes,,,,Yes,,,1185 kg,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361.0,Maruti Suzuki,Alto,Lxi,352900,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,755 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic","Coil Spring, Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm",1295 mm,1290 mm,145/80R12,145/80R12,Electric Power,Only Front Windows,,,47hp@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,2,5.0,Fabric,Manual,2360 mm,145/80R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,,,,Yes,Digital,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,Yes,Yes,,,,,,1185 kg,,,,,,,10.3:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.0,Maruti Suzuki,Alto,Lxi (O),357200,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,757 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic","Coil Spring, Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm",1295 mm,1290 mm,145/80R12,145/80R12,Yes,Only Front Windows,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,2,5.0,Fabric,Manual,2360 mm,145/80R12,,,Not on offer,,,,,Internal,,,,Yes,Digital,Front,,Front,Yes,,,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,Yes,,,,Yes,Yes,,Yes,Yes,,,Yes,,,1185 kg,Driver frontal airbag,,Yes,,,1.0,,,,,,,,,,,,,,,,,,,Cup Holders,,,,,,,,,,,,,,,,,,,
363.0,Maruti Suzuki,Alto,Vxi,376100,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,762 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic","Coil Spring, Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm",1295 mm,1290 mm,145/80R12,145/80R12,Yes,Only Front Windows,,Remote,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,2,5.0,Fabric,Manual,2360 mm,145/80R12,,Yes,CD Player with USB & Aux-in,Yes,,2 years /40000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,Yes,,,,Yes,Yes,,Yes,,,,Yes,,Yes,1185 kg,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,,2.0,,,,,Rear sensors,,Yes,,,,,,,,,,,,Cup Holders,,,,,,,,,,,,,,,,,,,
364.0,Maruti Suzuki,Alto,Lxi Cng (Cng +,405570,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,CNG + Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,755 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic","Coil Spring, Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm",1295 mm,1290 mm,145/80R12,145/80R12,Electric Power,Only Front Windows,,,47hp@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,2,5.0,Fabric,Manual,2360 mm,145/80R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,,,,Yes,Digital,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,Yes,Yes,,,,,,1185 kg,,,,,,,10.3:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365.0,Maruti Suzuki,Alto,Lxi (O) Cng (Cng +,409190,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,CNG + Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,757 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic","Coil Spring, Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm",1295 mm,1290 mm,145/80R12,145/80R12,Yes,Only Front Windows,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,2,5.0,Fabric,Manual,2360 mm,145/80R12,,,Not on offer,,,,,Internal,,,,Yes,Digital,Front,,Front,Yes,,,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,Yes,,,,Yes,Yes,,Yes,Yes,,,Yes,,,1185 kg,Driver frontal airbag,,Yes,,,1.0,,,,,,,,,,,,,,,,,,,Cup Holders,,,,,,,,,,,,,,,,,,,
366.0,Maruti Suzuki,Alto,Vxi Plus,389600,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,762 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic","Coil Spring, Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm",1295 mm,1290 mm,145/80R12,145/80R12,Yes,Only Front Windows,,Remote,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,2,5.0,Fabric,Manual,2360 mm,145/80R12,,Yes,CD Player with USB & Aux-in,Yes,,2 years /40000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,Yes,,,,Yes,Yes,,Yes,,,,Yes,,Yes,1185 kg,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,,2.0,,,,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,,,,,,,,Cup Holders,,,,,,,,,,,,,,,,,,,
367.0,Maruti Suzuki,S-Presso,Std,370500,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5.0,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,,,145/80 R13,145/80 R13,,,,,67PS@5500rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2380 mm,145/80 R13,,,Not on offer,,,,,Internal,,,,Yes,,Not on offer,,,,,,Internal,Analog,Manual,Analog,Yes,4.5 meter,Yes,,,,Yes,,,,,,Normal,Yes,Yes,,Yes,,,,Yes,,,1170 kg,Driver frontal airbag,Yes,Yes,,,1.0,11.0:1,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368.0,Maruti Suzuki,S-Presso,Std (O),376500,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5.0,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,,,145/80 R13,145/80 R13,,,,,67PS@5500rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2380 mm,145/80 R13,,,Not on offer,,,,,Internal,,,,Yes,,Not on offer,,,,,,Internal,Analog,Manual,Analog,Yes,4.5 meter,Yes,Driver & Front Passenger,,,Yes,,,,,,Normal,Yes,Yes,,Yes,,,,Yes,,,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,11.0:1,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369.0,Maruti Suzuki,S-Presso,Lxi,409000,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5.0,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,,,145/80 R13,145/80 R13,Yes,,,,67PS@5500rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2380 mm,145/80 R13,,,Not on offer,,,,,Internal,,,,Yes,,Not on offer,,,,,,Internal,Analog,Manual,Analog,Yes,4.5 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,Normal,Yes,Yes,,Yes,,,,Yes,,,1170 kg,Driver frontal airbag,Yes,Yes,,,1.0,11.0:1,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370.0,Maruti Suzuki,S-Presso,Lxi (O),415000,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5.0,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,,,145/80 R13,145/80 R13,Yes,,,,67PS@5500rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2380 mm,145/80 R13,,,Not on offer,,,,,Internal,,,,Yes,,Not on offer,,,,,,Internal,Analog,Manual,Analog,Yes,4.5 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,Normal,Yes,Yes,,Yes,,,,Yes,,,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,11.0:1,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371.0,Maruti Suzuki,S-Presso,Vxi,432500,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5.0,,,21.7 km/litre,,726 kg,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,,,145/80 R13,145/80 R13,Yes,Only Front Windows,,Yes,67PS@5500rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2380 mm,145/80 R13,,,USB & Aux-in,,Yes,,Yes,Internal,,,Yes,Yes,,Not on offer,Yes,,,,Yes,Internal,Analog,Manual,Analog,Yes,4.5 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,Normal,Yes,Yes,,Yes,,,,Yes,Yes,,1170 kg,Driver frontal airbag,Yes,Yes,,Yes,1.0,11.0:1,,,,Rear sensors,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372.0,Maruti Suzuki,S-Presso,Vxi (O),438500,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5.0,,,21.7 km/litre,,726 kg,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,,,145/80 R13,145/80 R13,Yes,Only Front Windows,,Yes,67PS@5500rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2380 mm,145/80 R13,,,USB & Aux-in,,Yes,,Yes,Internal,,,Yes,Yes,,Not on offer,Yes,,,,Yes,Internal,Analog,Manual,Analog,Yes,4.5 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,Normal,Yes,Yes,,Yes,,,,Yes,Yes,,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,11.0:1,,,,Rear sensors,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
